,City,Temperature,Latitude,Longitude,Cloudiness,Wind_Speed,Humidity
399,grenaa,2.97,56.4158,10.8783,20,2.06,56
400,san policarpo,24.72,12.1791,125.5072,80,2.31,88
401,qaqortoq,13.0,60.7167,-46.0333,75,11.32,33
402,puerto escondido,32.0,15.85,-97.0667,75,6.17,74
403,ostrovnoy,2.22,68.0531,39.5131,100,2.23,99
404,klyuchi,3.82,52.2667,79.1667,3,1.09,45
405,charters towers,18.9,-20.1,146.2667,100,4.28,89
406,juba,23.62,4.8517,31.5825,100,2.98,79
407,ust-nera,-19.5,64.5667,143.2,19,0.62,92
408,madimba,24.23,-10.4,40.3333,100,3.47,91
409,bandar-e lengeh,28.41,26.5579,54.8807,1,3.03,36
410,brae,6.0,60.3964,-1.353,75,4.63,75
411,marawi,24.44,7.9986,124.2928,58,2.68,90
412,lasa,13.78,46.6166,10.7002,0,1.54,49
413,chato,19.07,-2.6378,31.7669,100,1.93,91
414,la palma,18.04,33.8464,-118.0467,90,3.09,63
415,canavieiras,26.06,-15.675,-38.9472,69,2.76,74
416,palu,23.95,-0.8917,119.8707,78,1.51,94
417,shu,7.59,43.5983,73.7614,99,2.18,37
418,muros,16.39,42.7762,-9.0603,94,4.47,89
419,lianzhou,19.24,24.7811,112.3825,100,3.14,95
420,katherine,15.0,-14.4667,132.2667,96,1.54,63
421,peleduy,-4.89,59.6289,112.7406,100,0.41,98
422,bam,27.04,29.106,58.357,92,3.58,20
423,rocha,18.63,-34.4833,-54.3333,100,3.16,90
424,agadir,19.0,30.4202,-9.5982,20,6.69,63
425,sioux lookout,3.0,50.1001,-91.917,40,4.12,32
426,nikel,0.0,69.4128,30.222,75,6.69,100
427,leningradskiy,-3.77,69.3833,178.4167,100,2.15,87
428,amazar,-0.54,53.858,120.875,83,0.35,66
429,skofljica,9.44,45.9833,14.5767,0,0.51,57
430,ozinki,9.41,51.1786,49.6769,24,6.7,88
431,mitu,30.72,1.1983,-70.1733,100,1.4,59
432,prince rupert,9.75,54.3161,-130.3201,1,2.06,71
433,ketchikan,13.0,55.3422,-131.6461,1,5.14,41
